

y(nm), Y
-25, 7.00266
-24, 14.2969
-23, 13.6116
-22, 12.7424
-21, 11.8617
-20, 11.0296
-19, 10.2658
-18, 9.57484
-17, 8.955
-16, 8.40226
-15, 7.91155
-14, 7.47759
-13, 7.09518
-12, 6.7593
-11, 6.46539
-10, 6.20937
-9, 5.98761
-8, 5.7969
-7, 5.63453
-6, 5.49817
-5, 5.38588
-4, 5.29607
-3, 5.22748
-2, 5.17916
-1, 5.15044
0, 5.14092
1, 5.15044
2, 5.17916
3, 5.22748
4, 5.29607
5, 5.38588
6, 5.49817
7, 5.63453
8, 5.7969
9, 5.98761
10, 6.20937
11, 6.46539
12, 6.7593
13, 7.09518
14, 7.47759
15, 7.91155
16, 8.40226
17, 8.955
18, 9.57484
19, 10.2658
20, 11.0296
21, 11.8617
22, 12.7424
23, 13.6116
24, 14.2969
25, 7.00266


